WAVELGNTH,RL,RM1 Envel,w/ RM1,RM2 Envel,w/ RM2,RH1 Envel,w/ RH1,RH2 Envel,w/ RH2,RH3 Envel,w/ RH3,RH4 Envel,w/ RH4
780,0.456,0.893,0.394,0.912,0.402,0.000,0.000,0.509,0.197,0.687,0.265,0.448,0.173
781,0.456,0.892,0.394,0.913,0.403,0.000,0.000,0.497,0.192,0.690,0.266,0.447,0.173
782,0.456,0.891,0.393,0.915,0.404,0.000,0.000,0.486,0.188,0.693,0.268,0.447,0.173
783,0.456,0.890,0.393,0.916,0.404,0.000,0.000,0.474,0.183,0.697,0.269,0.447,0.173
784,0.456,0.889,0.393,0.917,0.405,0.000,0.000,0.463,0.179,0.700,0.270,0.446,0.172
785,0.456,0.888,0.392,0.918,0.406,0.000,0.000,0.453,0.175,0.703,0.272,0.446,0.172
786,0.455,0.887,0.392,0.919,0.406,0.000,0.000,0.443,0.171,0.706,0.273,0.446,0.172
787,0.455,0.886,0.391,0.920,0.407,0.000,0.000,0.433,0.168,0.709,0.274,0.445,0.172
788,0.455,0.885,0.391,0.922,0.407,0.000,0.000,0.424,0.164,0.712,0.275,0.445,0.172
789,0.454,0.884,0.390,0.923,0.407,0.000,0.000,0.416,0.160,0.715,0.276,0.445,0.172
790,0.454,0.883,0.390,0.924,0.408,0.000,0.000,0.407,0.157,0.719,0.277,0.445,0.172
791,0.454,0.882,0.389,0.925,0.408,0.000,0.000,0.399,0.154,0.722,0.279,0.445,0.172
792,0.453,0.881,0.389,0.926,0.409,0.000,0.000,0.392,0.151,0.725,0.280,0.445,0.172
793,0.453,0.880,0.388,0.927,0.409,0.000,0.000,0.384,0.148,0.728,0.281,0.445,0.172
794,0.452,0.879,0.388,0.928,0.409,0.000,0.000,0.377,0.146,0.731,0.282,0.445,0.172
795,0.452,0.878,0.387,0.929,0.410,0.000,0.000,0.371,0.143,0.734,0.283,0.445,0.171
796,0.451,0.876,0.386,0.930,0.410,0.000,0.000,0.364,0.140,0.737,0.284,0.445,0.171
797,0.451,0.875,0.385,0.931,0.410,0.000,0.000,0.358,0.138,0.740,0.285,0.445,0.171
798,0.451,0.874,0.385,0.932,0.411,0.000,0.000,0.352,0.136,0.743,0.286,0.445,0.171
799,0.450,0.873,0.385,0.933,0.411,0.000,0.000,0.346,0.133,0.746,0.287,0.445,0.171
800,0.450,0.872,0.385,0.934,0.412,0.000,0.000,0.340,0.131,0.749,0.289,0.445,0.172
801,0.450,0.871,0.384,0.935,0.413,0.000,0.000,0.335,0.129,0.752,0.290,0.445,0.172
802,0.450,0.870,0.384,0.936,0.414,0.000,0.000,0.329,0.127,0.755,0.292,0.446,0.172
803,0.451,0.869,0.384,0.937,0.414,0.000,0.000,0.323,0.125,0.757,0.293,0.446,0.172
804,0.451,0.868,0.384,0.938,0.415,0.000,0.000,0.318,0.123,0.760,0.294,0.446,0.173
805,0.451,0.867,0.384,0.939,0.416,0.000,0.000,0.312,0.121,0.763,0.296,0.446,0.173
806,0.450,0.866,0.383,0.940,0.416,0.000,0.000,0.306,0.119,0.766,0.297,0.447,0.173
807,0.450,0.864,0.383,0.941,0.417,0.000,0.000,0.300,0.116,0.769,0.298,0.447,0.173
808,0.450,0.863,0.382,0.942,0.417,0.000,0.000,0.294,0.114,0.772,0.299,0.448,0.173
809,0.449,0.862,0.382,0.942,0.417,0.000,0.000,0.288,0.112,0.774,0.300,0.448,0.174
810,0.449,0.861,0.381,0.943,0.418,0.000,0.000,0.282,0.109,0.777,0.301,0.449,0.174
811,0.449,0.860,0.381,0.944,0.418,0.000,0.000,0.275,0.107,0.780,0.302,0.449,0.174
812,0.448,0.859,0.380,0.945,0.418,0.000,0.000,0.269,0.104,0.782,0.303,0.450,0.174
813,0.448,0.858,0.380,0.946,0.419,0.000,0.000,0.262,0.101,0.785,0.304,0.450,0.175
814,0.448,0.857,0.380,0.947,0.420,0.000,0.000,0.255,0.099,0.788,0.306,0.451,0.175
815,0.448,0.856,0.379,0.947,0.420,0.000,0.000,0.247,0.096,0.790,0.307,0.452,0.175
816,0.447,0.855,0.379,0.948,0.420,0.000,0.000,0.239,0.093,0.793,0.308,0.452,0.176
817,0.447,0.853,0.379,0.949,0.421,0.000,0.000,0.232,0.090,0.795,0.309,0.453,0.176
818,0.447,0.852,0.378,0.950,0.421,0.000,0.000,0.224,0.087,0.798,0.310,0.454,0.176
819,0.447,0.851,0.378,0.950,0.422,0.000,0.000,0.215,0.084,0.800,0.311,0.455,0.177
820,0.447,0.850,0.378,0.951,0.423,0.000,0.000,0.207,0.080,0.803,0.312,0.456,0.177
821,0.447,0.849,0.377,0.952,0.423,0.000,0.000,0.198,0.077,0.805,0.313,0.457,0.178
822,0.447,0.848,0.377,0.953,0.424,0.000,0.000,0.190,0.074,0.808,0.314,0.457,0.178
823,0.447,0.847,0.377,0.953,0.424,0.000,0.000,0.181,0.070,0.810,0.315,0.458,0.179
824,0.447,0.846,0.377,0.954,0.425,0.000,0.000,0.172,0.067,0.812,0.317,0.459,0.179
825,0.447,0.844,0.377,0.955,0.426,0.000,0.000,0.163,0.063,0.814,0.318,0.460,0.180
826,0.447,0.843,0.376,0.955,0.426,0.000,0.000,0.154,0.060,0.817,0.319,0.462,0.180
827,0.447,0.842,0.376,0.956,0.427,0.000,0.000,0.145,0.057,0.819,0.320,0.463,0.181
828,0.447,0.841,0.376,0.957,0.427,0.000,0.000,0.136,0.053,0.821,0.321,0.464,0.181
829,0.446,0.840,0.375,0.957,0.428,0.000,0.000,0.127,0.050,0.823,0.322,0.465,0.182
830,0.446,0.839,0.375,0.958,0.428,0.000,0.000,0.118,0.046,0.825,0.323,0.466,0.182
831,0.446,0.838,0.375,0.958,0.429,0.000,0.000,0.110,0.043,0.827,0.324,0.467,0.183
832,0.446,0.837,0.375,0.959,0.429,0.000,0.000,0.101,0.040,0.830,0.325,0.468,0.184
833,0.446,0.835,0.374,0.960,0.430,0.000,0.000,0.093,0.036,0.832,0.326,0.470,0.184
834,0.445,0.834,0.374,0.960,0.430,0.000,0.000,0.085,0.033,0.834,0.327,0.471,0.185
835,0.445,0.833,0.373,0.961,0.430,0.000,0.000,0.078,0.030,0.835,0.328,0.472,0.185
836,0.445,0.832,0.373,0.961,0.431,0.000,0.000,0.070,0.028,0.837,0.329,0.474,0.186
837,0.445,0.831,0.373,0.962,0.432,0.000,0.000,0.064,0.025,0.839,0.330,0.475,0.187
838,0.445,0.830,0.372,0.962,0.432,0.000,0.000,0.057,0.022,0.841,0.330,0.477,0.187
839,0.445,0.829,0.372,0.963,0.432,0.000,0.000,0.051,0.020,0.843,0.331,0.478,0.188
840,0.444,0.828,0.372,0.963,0.433,0.000,0.000,0.046,0.018,0.845,0.332,0.480,0.188
841,0.444,0.826,0.371,0.964,0.433,0.000,0.000,0.041,0.016,0.846,0.333,0.481,0.189
842,0.444,0.825,0.371,0.964,0.433,0.000,0.000,0.036,0.014,0.848,0.333,0.483,0.190
843,0.443,0.824,0.370,0.965,0.433,0.000,0.000,0.032,0.013,0.850,0.334,0.484,0.190
844,0.443,0.823,0.369,0.965,0.433,0.000,0.000,0.029,0.011,0.851,0.334,0.486,0.191
845,0.442,0.822,0.369,0.966,0.433,0.000,0.000,0.026,0.010,0.853,0.335,0.487,0.191
846,0.442,0.821,0.368,0.966,0.434,0.000,0.000,0.023,0.009,0.854,0.336,0.489,0.192
847,0.442,0.820,0.368,0.967,0.434,0.000,0.000,0.021,0.008,0.856,0.336,0.491,0.193
848,0.442,0.818,0.368,0.967,0.435,0.000,0.000,0.020,0.008,0.857,0.337,0.493,0.194
849,0.442,0.817,0.368,0.968,0.436,0.000,0.000,0.019,0.008,0.859,0.338,0.494,0.195
850,0.442,0.816,0.368,0.968,0.436,0.000,0.000,0.019,0.008,0.860,0.339,0.496,0.196
851,0.442,0.815,0.367,0.968,0.436,0.000,0.000,0.020,0.008,0.861,0.340,0.498,0.196
852,0.441,0.814,0.367,0.969,0.437,0.000,0.000,0.020,0.008,0.863,0.340,0.500,0.197
853,0.441,0.813,0.366,0.969,0.437,0.000,0.000,0.022,0.009,0.864,0.341,0.502,0.198
854,0.441,0.812,0.366,0.970,0.437,0.000,0.000,0.023,0.009,0.865,0.341,0.503,0.199
855,0.440,0.810,0.365,0.970,0.437,0.000,0.000,0.026,0.010,0.866,0.342,0.505,0.199
856,0.440,0.809,0.365,0.970,0.438,0.000,0.000,0.028,0.011,0.867,0.342,0.507,0.200
857,0.439,0.808,0.364,0.971,0.437,0.000,0.000,0.031,0.012,0.868,0.342,0.509,0.201
858,0.439,0.807,0.364,0.971,0.438,0.000,0.000,0.035,0.014,0.869,0.343,0.511,0.202
859,0.439,0.806,0.363,0.971,0.438,0.000,0.000,0.038,0.015,0.870,0.343,0.513,0.202
860,0.438,0.805,0.363,0.972,0.438,0.000,0.000,0.042,0.017,0.871,0.344,0.515,0.203
861,0.438,0.804,0.363,0.972,0.438,0.000,0.000,0.046,0.018,0.872,0.344,0.517,0.204
862,0.438,0.802,0.362,0.972,0.439,0.000,0.000,0.050,0.020,0.873,0.345,0.519,0.205
863,0.438,0.801,0.362,0.972,0.439,0.000,0.000,0.055,0.022,0.874,0.345,0.521,0.206
864,0.438,0.800,0.361,0.973,0.439,0.000,0.000,0.059,0.023,0.875,0.346,0.524,0.207
865,0.438,0.799,0.361,0.973,0.440,0.000,0.000,0.064,0.025,0.876,0.346,0.526,0.208
866,0.438,0.798,0.361,0.973,0.441,0.000,0.000,0.068,0.027,0.876,0.347,0.528,0.209
867,0.437,0.797,0.361,0.973,0.441,0.000,0.000,0.072,0.029,0.877,0.347,0.530,0.210
868,0.437,0.795,0.360,0.974,0.441,0.000,0.000,0.077,0.030,0.877,0.348,0.532,0.211
869,0.437,0.794,0.360,0.974,0.441,0.000,0.000,0.081,0.032,0.878,0.348,0.535,0.212
870,0.437,0.793,0.360,0.974,0.442,0.000,0.000,0.085,0.034,0.879,0.349,0.537,0.213
871,0.437,0.792,0.360,0.974,0.442,0.000,0.000,0.089,0.035,0.879,0.349,0.539,0.214
872,0.437,0.791,0.359,0.975,0.443,0.000,0.000,0.092,0.037,0.879,0.349,0.541,0.215
873,0.436,0.790,0.359,0.975,0.443,0.000,0.000,0.096,0.038,0.880,0.350,0.544,0.216
874,0.436,0.789,0.358,0.975,0.443,0.000,0.000,0.099,0.039,0.880,0.350,0.546,0.217
875,0.436,0.787,0.358,0.975,0.443,0.000,0.000,0.101,0.040,0.880,0.350,0.548,0.218
876,0.436,0.786,0.358,0.975,0.444,0.000,0.000,0.104,0.041,0.881,0.351,0.551,0.219
877,0.435,0.785,0.357,0.976,0.444,0.000,0.000,0.105,0.042,0.881,0.351,0.553,0.220
878,0.435,0.784,0.357,0.976,0.444,0.000,0.000,0.107,0.043,0.881,0.351,0.555,0.221
879,0.435,0.783,0.357,0.976,0.444,0.000,0.000,0.108,0.043,0.881,0.351,0.558,0.222
880,0.434,0.782,0.356,0.976,0.444,0.000,0.000,0.109,0.043,0.881,0.351,0.560,0.223
881,0.434,0.781,0.355,0.976,0.444,0.000,0.000,0.109,0.044,0.881,0.351,0.563,0.224
882,0.433,0.779,0.355,0.976,0.444,0.000,0.000,0.109,0.043,0.881,0.351,0.565,0.225
883,0.433,0.778,0.355,0.976,0.445,0.000,0.000,0.109,0.043,0.881,0.351,0.568,0.226
884,0.433,0.777,0.354,0.976,0.445,0.000,0.000,0.108,0.043,0.881,0.351,0.570,0.227
885,0.433,0.776,0.354,0.977,0.445,0.000,0.000,0.106,0.042,0.881,0.351,0.573,0.228
886,0.432,0.775,0.353,0.977,0.445,0.000,0.000,0.104,0.042,0.881,0.351,0.575,0.229
887,0.432,0.774,0.353,0.977,0.445,0.000,0.000,0.102,0.041,0.880,0.351,0.578,0.231
888,0.432,0.772,0.353,0.977,0.446,0.000,0.000,0.100,0.040,0.880,0.351,0.580,0.232
889,0.432,0.771,0.352,0.977,0.446,0.000,0.000,0.097,0.039,0.880,0.351,0.583,0.233
890,0.432,0.770,0.352,0.977,0.447,0.000,0.000,0.094,0.038,0.879,0.352,0.585,0.234
891,0.431,0.769,0.351,0.977,0.446,0.000,0.000,0.090,0.036,0.879,0.351,0.588,0.235
892,0.430,0.768,0.350,0.977,0.446,0.000,0.000,0.087,0.035,0.878,0.351,0.590,0.236
893,0.430,0.767,0.350,0.977,0.446,0.000,0.000,0.083,0.033,0.878,0.351,0.593,0.237
894,0.429,0.766,0.350,0.977,0.446,0.000,0.000,0.079,0.031,0.877,0.350,0.596,0.238
895,0.429,0.764,0.349,0.977,0.446,0.000,0.000,0.074,0.030,0.877,0.350,0.598,0.239
896,0.429,0.763,0.349,0.977,0.446,0.000,0.000,0.070,0.028,0.876,0.350,0.601,0.240
897,0.428,0.762,0.348,0.977,0.446,0.000,0.000,0.066,0.026,0.875,0.350,0.604,0.241
898,0.428,0.761,0.348,0.977,0.446,0.000,0.000,0.061,0.024,0.875,0.350,0.606,0.242
899,0.427,0.760,0.347,0.977,0.446,0.000,0.000,0.056,0.023,0.874,0.349,0.609,0.243
900,0.427,0.759,0.347,0.977,0.446,0.000,0.000,0.052,0.021,0.873,0.349,0.612,0.244
901,0.427,0.758,0.346,0.977,0.446,0.000,0.000,0.047,0.019,0.872,0.349,0.614,0.246
902,0.427,0.756,0.346,0.977,0.447,0.000,0.000,0.043,0.017,0.871,0.349,0.617,0.247
903,0.426,0.755,0.346,0.977,0.447,0.000,0.000,0.038,0.015,0.870,0.348,0.620,0.248
904,0.426,0.754,0.345,0.977,0.447,0.000,0.000,0.034,0.014,0.869,0.348,0.622,0.249
905,0.426,0.753,0.345,0.977,0.447,0.000,0.000,0.030,0.012,0.868,0.348,0.625,0.250
906,0.425,0.752,0.344,0.977,0.447,0.000,0.000,0.026,0.011,0.867,0.347,0.628,0.251
907,0.424,0.751,0.343,0.977,0.447,0.000,0.000,0.023,0.009,0.866,0.347,0.630,0.252
908,0.424,0.750,0.343,0.977,0.447,0.000,0.000,0.019,0.008,0.865,0.346,0.633,0.253
909,0.424,0.748,0.343,0.977,0.447,0.000,0.000,0.016,0.006,0.864,0.346,0.636,0.255
910,0.424,0.747,0.343,0.977,0.448,0.000,0.000,0.013,0.005,0.863,0.346,0.638,0.256
911,0.424,0.746,0.342,0.976,0.448,0.000,0.000,0.011,0.004,0.861,0.346,0.641,0.257
912,0.424,0.745,0.342,0.976,0.448,0.000,0.000,0.009,0.003,0.860,0.345,0.644,0.258
913,0.423,0.744,0.341,0.976,0.448,0.000,0.000,0.007,0.003,0.859,0.345,0.647,0.259
914,0.423,0.743,0.341,0.976,0.448,0.000,0.000,0.005,0.002,0.857,0.345,0.649,0.261
915,0.423,0.742,0.341,0.976,0.448,0.000,0.000,0.004,0.002,0.856,0.344,0.652,0.262
916,0.423,0.741,0.340,0.976,0.449,0.000,0.000,0.003,0.001,0.853,0.343,0.655,0.263
917,0.422,0.739,0.340,0.976,0.448,0.000,0.000,0.002,0.001,0.850,0.342,0.657,0.264
918,0.422,0.738,0.339,0.976,0.448,0.000,0.000,0.002,0.001,0.846,0.340,0.660,0.265
919,0.421,0.737,0.339,0.975,0.448,0.000,0.000,0.002,0.001,0.842,0.339,0.663,0.267
920,0.421,0.736,0.338,0.975,0.448,0.000,0.000,0.000,0.000,0.837,0.337,0.666,0.268
921,0.421,0.735,0.338,0.975,0.448,0.000,0.000,0.000,0.000,0.831,0.334,0.668,0.269
922,0.420,0.734,0.337,0.975,0.448,0.000,0.000,0.000,0.000,0.825,0.332,0.671,0.270
923,0.420,0.733,0.337,0.975,0.448,0.000,0.000,0.000,0.000,0.818,0.329,0.674,0.271
924,0.419,0.731,0.337,0.975,0.448,0.000,0.000,0.000,0.000,0.811,0.327,0.676,0.272
925,0.419,0.730,0.336,0.974,0.448,0.000,0.000,0.000,0.000,0.803,0.324,0.679,0.273
926,0.419,0.729,0.336,0.974,0.448,0.000,0.000,0.000,0.000,0.795,0.320,0.682,0.275
927,0.418,0.728,0.335,0.974,0.448,0.000,0.000,0.000,0.000,0.787,0.317,0.685,0.276
928,0.418,0.727,0.335,0.974,0.448,0.000,0.000,0.000,0.000,0.778,0.313,0.687,0.277
929,0.418,0.726,0.334,0.974,0.449,0.000,0.000,0.000,0.000,0.768,0.310,0.690,0.278
930,0.418,0.725,0.334,0.973,0.449,0.000,0.000,0.000,0.000,0.758,0.306,0.693,0.279
931,0.417,0.724,0.334,0.973,0.449,0.000,0.000,0.000,0.000,0.748,0.302,0.695,0.281
932,0.417,0.722,0.333,0.973,0.449,0.000,0.000,0.000,0.000,0.738,0.298,0.698,0.282
933,0.417,0.721,0.333,0.973,0.449,0.000,0.000,0.000,0.000,0.727,0.293,0.701,0.283
934,0.416,0.720,0.332,0.973,0.449,0.000,0.000,0.000,0.000,0.716,0.289,0.703,0.284
935,0.416,0.719,0.332,0.972,0.449,0.000,0.000,0.000,0.000,0.705,0.284,0.706,0.285
936,0.415,0.718,0.331,0.972,0.448,0.000,0.000,0.000,0.000,0.693,0.280,0.709,0.286
937,0.415,0.717,0.331,0.972,0.448,0.000,0.000,0.000,0.000,0.682,0.275,0.711,0.287
938,0.414,0.716,0.330,0.972,0.448,0.000,0.000,0.000,0.000,0.670,0.270,0.714,0.288
939,0.413,0.715,0.329,0.971,0.448,0.000,0.000,0.000,0.000,0.658,0.266,0.716,0.289
940,0.413,0.714,0.329,0.971,0.448,0.000,0.000,0.000,0.000,0.647,0.261,0.719,0.290
941,0.413,0.712,0.328,0.971,0.448,0.000,0.000,0.000,0.000,0.635,0.256,0.722,0.291
942,0.412,0.711,0.328,0.970,0.447,0.000,0.000,0.000,0.000,0.623,0.251,0.724,0.292
943,0.411,0.710,0.327,0.970,0.447,0.000,0.000,0.000,0.000,0.611,0.246,0.727,0.293
944,0.410,0.709,0.326,0.970,0.446,0.000,0.000,0.000,0.000,0.600,0.241,0.729,0.294
945,0.409,0.708,0.325,0.970,0.446,0.000,0.000,0.000,0.000,0.588,0.236,0.732,0.294
946,0.409,0.707,0.325,0.969,0.445,0.000,0.000,0.000,0.000,0.577,0.232,0.734,0.295
947,0.408,0.706,0.324,0.969,0.445,0.000,0.000,0.000,0.000,0.565,0.227,0.737,0.296
948,0.407,0.705,0.323,0.969,0.444,0.000,0.000,0.000,0.000,0.554,0.222,0.740,0.297
949,0.406,0.704,0.322,0.968,0.444,0.000,0.000,0.000,0.000,0.543,0.218,0.742,0.297
950,0.405,0.702,0.321,0.968,0.443,0.000,0.000,0.000,0.000,0.532,0.213,0.745,0.298
951,0.405,0.701,0.321,0.968,0.443,0.000,0.000,0.000,0.000,0.522,0.209,0.747,0.299
952,0.405,0.700,0.321,0.967,0.443,0.000,0.000,0.000,0.000,0.512,0.205,0.749,0.300
953,0.405,0.699,0.320,0.967,0.443,0.000,0.000,0.000,0.000,0.502,0.201,0.752,0.302
954,0.404,0.698,0.320,0.967,0.443,0.000,0.000,0.000,0.000,0.492,0.197,0.754,0.303
955,0.404,0.697,0.320,0.966,0.443,0.000,0.000,0.000,0.000,0.482,0.194,0.757,0.304
956,0.404,0.696,0.319,0.966,0.443,0.000,0.000,0.000,0.000,0.473,0.190,0.759,0.305
957,0.404,0.695,0.319,0.966,0.443,0.000,0.000,0.000,0.000,0.464,0.186,0.762,0.306
958,0.403,0.694,0.319,0.965,0.443,0.000,0.000,0.000,0.000,0.455,0.183,0.764,0.307
959,0.403,0.693,0.318,0.965,0.443,0.000,0.000,0.000,0.000,0.447,0.180,0.766,0.308
960,0.403,0.691,0.318,0.964,0.443,0.000,0.000,0.000,0.000,0.439,0.177,0.769,0.309
961,0.402,0.690,0.317,0.964,0.443,0.000,0.000,0.000,0.000,0.431,0.173,0.771,0.310
962,0.402,0.689,0.317,0.964,0.443,0.000,0.000,0.000,0.000,0.424,0.170,0.773,0.311
963,0.402,0.688,0.317,0.963,0.443,0.000,0.000,0.000,0.000,0.416,0.168,0.776,0.312
964,0.401,0.687,0.316,0.963,0.443,0.000,0.000,0.000,0.000,0.409,0.165,0.778,0.313
965,0.401,0.686,0.316,0.963,0.443,0.000,0.000,0.000,0.000,0.403,0.162,0.780,0.314
966,0.401,0.685,0.315,0.962,0.443,0.000,0.000,0.000,0.000,0.396,0.160,0.782,0.315
967,0.400,0.684,0.315,0.962,0.443,0.000,0.000,0.000,0.000,0.390,0.157,0.785,0.316
968,0.400,0.683,0.314,0.961,0.443,0.000,0.000,0.000,0.000,0.384,0.155,0.787,0.317
969,0.399,0.682,0.314,0.961,0.442,0.000,0.000,0.000,0.000,0.378,0.152,0.789,0.318
970,0.398,0.681,0.313,0.961,0.442,0.000,0.000,0.000,0.000,0.373,0.150,0.791,0.318
971,0.398,0.680,0.312,0.960,0.441,0.000,0.000,0.000,0.000,0.367,0.148,0.793,0.319
972,0.397,0.678,0.311,0.960,0.441,0.000,0.000,0.000,0.000,0.362,0.145,0.795,0.320
973,0.396,0.677,0.311,0.959,0.440,0.000,0.000,0.000,0.000,0.357,0.143,0.798,0.320
974,0.395,0.676,0.310,0.959,0.439,0.000,0.000,0.000,0.000,0.352,0.141,0.800,0.321
975,0.394,0.675,0.309,0.958,0.439,0.000,0.000,0.000,0.000,0.347,0.139,0.802,0.321
976,0.393,0.674,0.308,0.958,0.438,0.000,0.000,0.000,0.000,0.342,0.137,0.804,0.321
977,0.392,0.673,0.307,0.957,0.437,0.000,0.000,0.000,0.000,0.337,0.135,0.806,0.322
978,0.391,0.672,0.306,0.957,0.436,0.000,0.000,0.000,0.000,0.332,0.132,0.808,0.322
979,0.390,0.671,0.305,0.957,0.435,0.000,0.000,0.000,0.000,0.328,0.130,0.810,0.322
980,0.388,0.670,0.304,0.956,0.433,0.000,0.000,0.000,0.000,0.323,0.128,0.812,0.322
981,0.387,0.669,0.303,0.956,0.432,0.000,0.000,0.000,0.000,0.318,0.126,0.814,0.322
982,0.385,0.668,0.301,0.955,0.431,0.000,0.000,0.000,0.000,0.313,0.124,0.815,0.322
983,0.384,0.667,0.300,0.955,0.429,0.000,0.000,0.000,0.000,0.309,0.121,0.817,0.322
984,0.382,0.666,0.298,0.954,0.428,0.000,0.000,0.000,0.000,0.304,0.119,0.819,0.321
985,0.380,0.665,0.297,0.954,0.426,0.000,0.000,0.000,0.000,0.299,0.117,0.821,0.321
986,0.378,0.664,0.295,0.953,0.424,0.000,0.000,0.000,0.000,0.294,0.114,0.823,0.320
987,0.376,0.662,0.293,0.953,0.422,0.000,0.000,0.000,0.000,0.289,0.112,0.825,0.319
988,0.374,0.661,0.291,0.952,0.420,0.000,0.000,0.000,0.000,0.283,0.109,0.826,0.319
989,0.372,0.660,0.290,0.952,0.417,0.000,0.000,0.000,0.000,0.278,0.107,0.828,0.318
990,0.370,0.659,0.288,0.951,0.415,0.000,0.000,0.000,0.000,0.272,0.104,0.830,0.317
991,0.367,0.658,0.286,0.951,0.412,0.000,0.000,0.000,0.000,0.267,0.101,0.832,0.316
992,0.364,0.657,0.283,0.950,0.410,0.000,0.000,0.000,0.000,0.261,0.098,0.833,0.314
993,0.361,0.656,0.281,0.950,0.407,0.000,0.000,0.000,0.000,0.255,0.096,0.835,0.313
994,0.359,0.655,0.279,0.949,0.404,0.000,0.000,0.000,0.000,0.249,0.093,0.836,0.311
995,0.356,0.654,0.276,0.949,0.401,0.000,0.000,0.000,0.000,0.243,0.090,0.838,0.310
996,0.352,0.653,0.274,0.948,0.397,0.000,0.000,0.000,0.000,0.236,0.087,0.840,0.308
997,0.349,0.652,0.271,0.948,0.394,0.000,0.000,0.000,0.000,0.230,0.084,0.841,0.306
998,0.346,0.651,0.269,0.947,0.391,0.000,0.000,0.000,0.000,0.223,0.081,0.843,0.304
999,0.343,0.650,0.266,0.947,0.387,0.000,0.000,0.000,0.000,0.216,0.077,0.844,0.302
1000,0.339,0.649,0.263,0.946,0.384,0.000,0.000,0.000,0.000,0.209,0.074,0.846,0.300
1001,0.334,0.648,0.259,0.945,0.378,0.000,0.000,0.000,0.000,0.202,0.071,0.847,0.297
1002,0.329,0.647,0.255,0.945,0.373,0.000,0.000,0.000,0.000,0.195,0.067,0.848,0.293
1003,0.324,0.646,0.251,0.944,0.367,0.000,0.000,0.000,0.000,0.188,0.064,0.850,0.289
1004,0.319,0.645,0.247,0.944,0.362,0.000,0.000,0.000,0.000,0.181,0.061,0.851,0.285
1005,0.313,0.644,0.243,0.943,0.355,0.000,0.000,0.000,0.000,0.173,0.057,0.852,0.281
1006,0.308,0.643,0.238,0.943,0.349,0.000,0.000,0.000,0.000,0.166,0.054,0.854,0.277
1007,0.302,0.642,0.234,0.942,0.343,0.000,0.000,0.000,0.000,0.159,0.051,0.855,0.272
1008,0.296,0.641,0.229,0.942,0.337,0.000,0.000,0.000,0.000,0.151,0.047,0.856,0.268
1009,0.290,0.639,0.224,0.941,0.330,0.000,0.000,0.000,0.000,0.144,0.044,0.857,0.263
1010,0.284,0.638,0.219,0.940,0.323,0.000,0.000,0.000,0.000,0.136,0.041,0.859,0.258
1011,0.278,0.637,0.215,0.940,0.316,0.000,0.000,0.000,0.000,0.129,0.038,0.860,0.253
1012,0.272,0.636,0.210,0.939,0.309,0.000,0.000,0.000,0.000,0.122,0.035,0.861,0.248
1013,0.265,0.635,0.205,0.939,0.302,0.000,0.000,0.000,0.000,0.115,0.032,0.862,0.243
1014,0.259,0.634,0.199,0.938,0.295,0.000,0.000,0.000,0.000,0.108,0.030,0.863,0.237
1015,0.252,0.633,0.194,0.938,0.288,0.000,0.000,0.000,0.000,0.101,0.027,0.864,0.232
1016,0.246,0.632,0.189,0.937,0.280,0.000,0.000,0.000,0.000,0.094,0.025,0.865,0.226
1017,0.239,0.631,0.184,0.936,0.273,0.000,0.000,0.000,0.000,0.088,0.022,0.866,0.221
1018,0.232,0.630,0.179,0.936,0.265,0.000,0.000,0.000,0.000,0.081,0.020,0.867,0.215
1019,0.226,0.629,0.173,0.935,0.258,0.000,0.000,0.000,0.000,0.075,0.018,0.868,0.209
1020,0.219,0.628,0.168,0.935,0.250,0.000,0.000,0.000,0.000,0.069,0.016,0.869,0.203
1021,0.212,0.627,0.163,0.934,0.243,0.000,0.000,0.000,0.000,0.064,0.014,0.870,0.198
1022,0.205,0.626,0.158,0.933,0.235,0.000,0.000,0.000,0.000,0.058,0.013,0.870,0.192
1023,0.198,0.625,0.152,0.933,0.227,0.000,0.000,0.000,0.000,0.053,0.011,0.871,0.186
1024,0.191,0.624,0.147,0.932,0.219,0.000,0.000,0.000,0.000,0.049,0.010,0.872,0.180
1025,0.185,0.623,0.142,0.931,0.212,0.000,0.000,0.000,0.000,0.044,0.009,0.873,0.174
1026,0.178,0.622,0.136,0.931,0.204,0.000,0.000,0.000,0.000,0.040,0.008,0.873,0.167
1027,0.171,0.621,0.131,0.930,0.196,0.000,0.000,0.000,0.000,0.037,0.007,0.874,0.161
1028,0.164,0.620,0.126,0.930,0.189,0.000,0.000,0.000,0.000,0.033,0.006,0.875,0.155
1029,0.158,0.619,0.121,0.929,0.181,0.000,0.000,0.000,0.000,0.030,0.005,0.875,0.149
1030,0.151,0.618,0.116,0.928,0.174,0.000,0.000,0.000,0.000,0.028,0.005,0.876,0.143
1031,0.145,0.617,0.111,0.928,0.166,0.000,0.000,0.000,0.000,0.025,0.004,0.876,0.137
1032,0.138,0.616,0.106,0.927,0.159,0.000,0.000,0.000,0.000,0.023,0.004,0.877,0.132
1033,0.132,0.615,0.101,0.926,0.152,0.000,0.000,0.000,0.000,0.022,0.003,0.877,0.126
1034,0.125,0.614,0.096,0.926,0.144,0.000,0.000,0.000,0.000,0.021,0.003,0.878,0.120
1035,0.119,0.613,0.091,0.925,0.137,0.000,0.000,0.000,0.000,0.020,0.003,0.878,0.114
