WAVELGNTH,RL,RM1 Envel,w/ RM1,RM2 Envel,w/ RM2,RH1 Envel,w/ RH1,RH2 Envel,w/ RH2,RH3 Envel,w/ RH3,RH4 Envel,w/ RH4
597,0.339,0.965,0.333,0.412,0.142,0.875,0.264,0.534,0.161,0.520,0.157,0.380,0.115
598,0.340,0.966,0.334,0.417,0.144,0.875,0.265,0.537,0.163,0.519,0.157,0.383,0.116
599,0.341,0.967,0.335,0.421,0.146,0.875,0.265,0.540,0.164,0.518,0.157,0.386,0.117
600,0.342,0.967,0.335,0.425,0.147,0.875,0.265,0.544,0.165,0.516,0.157,0.389,0.118
601,0.343,0.968,0.336,0.429,0.149,0.876,0.266,0.547,0.166,0.515,0.157,0.392,0.119
602,0.344,0.969,0.337,0.433,0.151,0.876,0.267,0.550,0.168,0.514,0.156,0.395,0.120
603,0.346,0.970,0.338,0.437,0.152,0.876,0.267,0.554,0.169,0.512,0.156,0.398,0.122
604,0.348,0.970,0.340,0.441,0.154,0.875,0.268,0.557,0.171,0.511,0.156,0.402,0.123
605,0.349,0.971,0.341,0.445,0.156,0.875,0.269,0.561,0.172,0.509,0.157,0.405,0.124
606,0.351,0.971,0.342,0.449,0.158,0.875,0.270,0.564,0.174,0.508,0.157,0.408,0.126
607,0.352,0.972,0.343,0.453,0.160,0.874,0.270,0.568,0.175,0.507,0.156,0.411,0.127
608,0.354,0.973,0.344,0.457,0.162,0.874,0.271,0.571,0.177,0.505,0.156,0.414,0.128
609,0.355,0.973,0.346,0.461,0.164,0.873,0.271,0.575,0.179,0.504,0.157,0.417,0.130
610,0.357,0.974,0.347,0.465,0.166,0.873,0.272,0.578,0.181,0.502,0.157,0.420,0.131
611,0.359,0.974,0.349,0.469,0.168,0.872,0.273,0.582,0.182,0.501,0.157,0.423,0.133
612,0.361,0.975,0.350,0.473,0.170,0.871,0.274,0.586,0.184,0.499,0.157,0.426,0.134
613,0.363,0.975,0.352,0.477,0.172,0.870,0.274,0.589,0.186,0.498,0.157,0.429,0.135
614,0.364,0.976,0.353,0.481,0.174,0.869,0.275,0.593,0.188,0.496,0.157,0.432,0.137
615,0.366,0.976,0.354,0.485,0.176,0.868,0.275,0.597,0.189,0.495,0.157,0.435,0.138
616,0.368,0.977,0.355,0.489,0.178,0.866,0.276,0.601,0.191,0.493,0.157,0.438,0.139
617,0.369,0.977,0.356,0.493,0.180,0.865,0.276,0.604,0.193,0.492,0.157,0.441,0.141
618,0.370,0.977,0.357,0.497,0.182,0.864,0.276,0.608,0.195,0.490,0.157,0.444,0.142
619,0.372,0.978,0.358,0.501,0.183,0.862,0.276,0.612,0.196,0.489,0.157,0.447,0.143
620,0.373,0.978,0.359,0.505,0.185,0.861,0.277,0.616,0.198,0.487,0.157,0.450,0.145
621,0.375,0.978,0.360,0.508,0.187,0.859,0.277,0.620,0.200,0.486,0.157,0.453,0.146
